"","Name","names.bridges","latitude","longitude","Line"
"1","Aarebr. Bruegg","Aarebr. Bruegg",47.1218809646,7.28137170054,260
"2","Aareviad Busswil","Aareviad Busswil",47.1044572496,7.31453581385,260
"3","Du Chueelibach","Du Chueelibach",47.0443744383,7.37186792705,260
"4","Du Lyssbach","Du Lyssbach",47.0497732718,7.35493905405,260
"5","Jenskanal-Br.","Jenskanal-Br.",47.1071160375,7.30598323292,260
"6","KDu Loeribach","KDu Loeribach",47.066789608,7.33050237516,260
"19","PDu Horbengasse","PDu Horbengasse",47.0437976155,7.3763437174,260
"22","PU Busswil","PU Busswil",47.0984078857,7.31874849003,260
"23","PU Lyss","PU Lyss",47.0764032028,7.3074167424,260
"25","PU Muenchenbuchsee","PU Muenchenbuchsee",47.021954057,7.45197236061,260
"26","PU Oberfeldweg","PU Oberfeldweg",47.0728948075,7.30852461638,260
"27","PU Studen Station","PU Studen Station",47.1115564086,7.30009191371,260
"28","PU Suberg","PU Suberg",47.0588782879,7.33941441167,260
"29","SU Brueggstrasse Sued","SU Brueggstrasse Sued",47.1297881496,7.25402938621,260
"31","SU Leueren Blaumatt","SU Leueren Blaumatt",47.0704678823,7.31136695063,260
"32","SU Muehleplatz","SU Muehleplatz",47.0719210009,7.30939230621,260
"33","SU Murgeli","SU Murgeli",47.0698831425,7.31256906238,260
"34","SU Rosengasse","SU Rosengasse",47.0744886083,7.30780198896,260
"35","SU Schwanden","SU Schwanden",47.0389137944,7.40244316282,260
"36","SU Studen","SU Studen",47.1103408791,7.30136826925,260
"39","U Bielstr.","U Bielstr.",47.0242545829,7.44715418273,260
"41","U Neubrueckstrasse","U Neubrueckstrasse",47.1225562474,7.28042197792,260
"43","WU Friedhof","WU Friedhof",47.1188624647,7.28636331415,260
"44","WU Holen","WU Holen",47.0269848992,7.44217166618,260
