Country,Emissions,1 Year Change,Population,Per capita,Share of world,latitude,longitude
China,10432751400 tons,-0.28%,"1,41,40,49,351",7.38,29.18%,35.86166,104.195397
United States,5011686600 tons,-2.01%,"32,30,15,995",15.52,14.02%,37.09024,-95.712891
India,2533638100 tons,4.71%,"1,32,45,17,249",1.91,7.09%,20.593684,78.96288
Russia,1661899300 tons,-2.13%,"14,52,75,383",11.44,4.65%,61.52401,105.318756
Japan,1239592060 tons,-1.21%,"12,77,63,265",9.7,3.47%,36.204824,138.252924
Germany,775752190 tons,1.28%,"8,21,93,768",9.44,2.17%,51.165691,10.451526
Canada,675918610 tons,-1.00%,"3,63,82,944",18.58,1.89%,56.130366,-106.346771
Iran,642560030 tons,2.22%,"7,95,63,989",8.08,1.80%,32.427908,53.688046
South Korea,604043830 tons,0.45%,"5,09,83,457",11.85,1.69%,35.907757,127.766922
Indonesia,530035650 tons,6.41%,"26,15,56,381",2.03,1.48%,-0.789275,113.921327
Saudi Arabia,517079407 tons,0.92%,"3,24,43,447",15.94,1.45%,23.885942,45.079162
Brazil,462994920 tons,-6.08%,"20,61,63,053",2.25,1.29%,-14.235004,-51.92528
Mexico,441412750 tons,-2.13%,"12,33,33,376",3.58,1.23%,23.634501,-102.552784
Australia,414988700 tons,-0.98%,"2,42,62,712",17.1,1.16%,-25.274398,133.775136
South Africa,390557850 tons,-0.49%,"5,62,07,646",6.95,1.09%,-30.559482,22.937506
Turkey,368122740 tons,5.25%,"7,98,27,871",4.61,1.03%,38.963745,35.243322
United Kingdom,367860350 tons,-6.38%,"6,62,97,944",5.55,1.03%,55.378051,-3.435973
Italy,358139550 tons,0.84%,"6,06,63,060",5.9,1.00%,41.87194,12.56738
France,331533320 tons,2.11%,"6,46,67,596",5.13,0.93%,46.227638,2.213749
Poland,296659670 tons,2.67%,"3,79,89,220",7.81,0.83%,51.919438,19.145136
Taiwan,276724868 tons,1.91%,"2,36,18,200",11.72,0.77%,23.69781,120.960515
Thailand,271040160 tons,1.55%,"6,89,71,308",3.93,0.76%,15.870032,100.992541
Malaysia,266251542 tons,6.54%,"3,06,84,654",8.68,0.74%,4.210484,101.975766
Spain,251892320 tons,-3.12%,"4,66,34,140",5.4,0.70%,40.463667,-3.74922
Ukraine,233220080 tons,8.03%,"4,47,13,702",5.22,0.65%,48.379433,31.16558
Kazakhstan,231919540 tons,1.64%,"1,78,30,901",13.01,0.65%,48.019573,66.923684
Egypt,219377350 tons,4.72%,"9,44,47,073",2.32,0.61%,26.820553,30.802498
United Arab Emirates,218788684 tons,4.43%,"93,60,980",23.37,0.61%,23.424076,53.847818
Vietnam,206042140 tons,0.09%,"9,36,40,422",2.2,0.58%,14.058324,108.277199
Argentina,200708270 tons,0.16%,"4,35,08,460",4.61,0.56%,-38.416097,-63.616672
Pakistan,178013820 tons,9.13%,"20,36,31,353",0.87,0.50%,30.375321,69.345116
Venezuela,175884256 tons,-1.90%,"2,98,51,255",5.89,0.49%,6.42375,-66.58973
Netherlands,163419285 tons,1.63%,"1,69,81,295",9.62,0.46%,52.132633,5.291266
Iraq,162646160 tons,1.22%,"3,66,10,632",4.44,0.45%,33.223191,43.679291
Algeria,156220560 tons,0.17%,"4,05,51,392",3.85,0.44%,28.033886,1.659626
Philippines,126922662 tons,12.37%,"10,36,63,816",1.22,0.35%,12.879721,121.774017
Czech Republic,111825428 tons,1.39%,"1,06,18,857",10.53,0.31%,49.817492,15.472962
Uzbekistan,109347340 tons,1.60%,"3,14,41,751",3.48,0.31%,41.377491,64.585262
Kuwait,101492225 tons,1.36%,"39,56,875",25.65,0.28%,29.31166,47.481766
Qatar,98990085 tons,1.79%,"26,54,374",37.29,0.28%,25.354826,51.183884
Belgium,94722813 tons,1.53%,"1,13,54,420",8.34,0.26%,50.503887,4.469936
Oman,87835773 tons,2.09%,"44,79,219",19.61,0.25%,21.512583,55.923255
Nigeria,82634214 tons,0.70%,"18,59,60,241",0.44,0.23%,9.081999,8.675277
Chile,81258525 tons,5.33%,"1,82,09,068",4.46,0.23%,-35.675147,-71.542969
Turkmenistan,79279216 tons,0.63%,"56,62,368",14,0.22%,38.969719,59.556278
Romania,78770824 tons,1.69%,"1,97,96,285",3.98,0.22%,45.943161,24.96676
Colombia,77667594 tons,-0.84%,"4,81,75,052",1.61,0.22%,4.570868,-74.297333
Bangladesh,74476230 tons,4.50%,"15,79,77,153",0.47,0.21%,23.684994,90.356331
Austria,73764112 tons,1.54%,"87,47,301",8.43,0.21%,47.516231,14.550072
Greece,67840662 tons,-3.47%,"1,06,15,185",6.39,0.19%,39.074208,21.824312
Israel,65201588 tons,-0.38%,"81,08,985",8.04,0.18%,31.046051,34.851612
Belarus,62655669 tons,4.90%,"94,45,643",6.63,0.18%,53.709807,27.953389
North Korea,58708734 tons,19.49%,"2,53,07,665",2.32,0.16%,40.339852,127.510093
Morocco,57694464 tons,0.54%,"3,51,26,283",1.64,0.16%,31.791702,-7.09262
Peru,57692879 tons,8.16%,"3,09,26,032",1.87,0.16%,-9.189967,-75.015152
Libya,52696075 tons,1.52%,"64,92,162",8.12,0.15%,26.3351,17.228331
Finland,51183960 tons,3.62%,"54,97,713",9.31,0.14%,61.92411,25.748151
Hungary,51018899 tons,2.16%,"97,52,975",5.23,0.14%,47.162494,19.503304
Bulgaria,50872910 tons,-6.00%,"71,51,953",7.11,0.14%,42.733883,25.48583
Portugal,50142844 tons,-2.36%,"1,03,25,538",4.86,0.14%,39.399872,-8.224454
Singapore,48381759 tons,2.56%,"56,53,634",8.56,0.14%,1.352083,103.819836
Hong Kong,47066386 tons,1.23%,"72,43,542",6.5,0.13%,22.396428,114.109497
Sweden,44694415 tons,4.33%,"98,36,007",4.54,0.13%,60.128161,18.643501
Norway,43456012 tons,0.85%,"52,50,949",8.28,0.12%,60.472024,8.468946
Serbia,41168059 tons,2.27%,"88,53,963",4.65,0.12%,44.016521,21.005859
Ecuador,40065690 tons,-4.85%,"1,64,91,116",2.43,0.11%,-1.831239,-78.183406
Switzerland,39666930 tons,-2.30%,"83,79,917",4.73,0.11%,46.818188,8.227512
Ireland,39086565 tons,5.09%,"46,95,779",8.32,0.11%,53.41291,-8.24389
Syria,38054696 tons,1.78%,"1,74,65,575",2.18,0.11%,34.802075,38.996815
Denmark,38007645 tons,5.23%,"57,11,349",6.65,0.11%,56.26392,9.501785
Slovakia,36817242 tons,1.74%,"54,42,003",6.77,0.10%,48.669026,19.699024
Trinidad and Tobago,34974263 tons,-5.92%,"13,77,560",25.39,0.10%,10.691803,-61.222503
Azerbaijan,33614235 tons,-0.41%,"97,36,043",3.45,0.09%,40.143105,47.576927
New Zealand,33276202 tons,-0.14%,"46,59,265",7.14,0.09%,-40.900557,174.885971
Angola,30566933 tons,3.13%,"2,88,42,489",1.06,0.09%,-11.202692,17.873887
Cuba,30389116 tons,1.65%,"1,13,35,104",2.68,0.08%,21.521757,-77.781167
Tunisia,29395965 tons,0.82%,"1,13,03,945",2.6,0.08%,33.886917,9.537499
Bosnia and Herzegovina,25674120 tons,0.86%,"33,86,266",7.58,0.07%,43.915886,17.679076
Yemen,25647990 tons,1.62%,"2,71,68,208",0.94,0.07%,15.552727,48.516388
Bahrain,24458384 tons,2.50%,"14,25,792",17.15,0.07%,25.930414,50.637772
Dominican Republic,23466740 tons,2.88%,"1,03,97,741",2.26,0.07%,18.735693,-70.162651
Jordan,22772370 tons,1.83%,"95,54,286",2.38,0.06%,30.585164,36.238414
Estonia,22402414 tons,1.01%,"13,16,510",17.02,0.06%,58.595272,25.013607
Lebanon,21863288 tons,1.95%,"67,14,281",3.26,0.06%,33.854721,35.862285
Bolivia,19463728 tons,2.03%,"1,10,31,814",1.76,0.05%,-16.290154,-63.588653
Croatia,19408194 tons,3.02%,"42,08,602",4.61,0.05%,45.1,15.2
Mongolia,18574260 tons,18.09%,"30,56,364",6.08,0.05%,46.862496,103.846656
